,drink,volume,calories,caffeine,type
551,Bigelow Tea,236.588,0,45,Tea
552,Brown Rice Tea,236.588,0,4,Tea
553,Chai Tea,236.588,0,50,Tea
554,Cold Brew Tea,236.588,0,70,Tea
555,Crystal Light Iced Tea,236.588,5,10,Tea
556,Fast Lane Black Tea,236.588,0,110,Tea
557,Guayusa Tea,236.588,0,41,Tea
558,HICAF Tea,236.588,0,110,Tea
559,K Cup Tea,236.588,0,41,Tea
560,Kombucha Tea,236.588,30,24,Tea
561,Lipton Natural Energy Tea,236.588,0,75,Tea
562,Lipton Tea,236.588,0,55,Tea
563,Matcha Tea,236.588,0,64,Tea
564,Morning Thunder Tea,236.588,0,45,Tea
565,Tazo Chai,236.588,0,47,Tea
566,Tea (Black),236.588,0,42,Tea
567,Tea (Decaf),236.588,0,4,Tea
568,Tea (Green),236.588,0,18,Tea
569,Tea (Herbal),236.588,0,0,Tea
570,Tea (Iced),236.588,0,47,Tea
571,Tea (Instant),236.588,0,40,Tea
572,Tea (Jasmine),236.588,0,25,Tea
573,Tea (Oolong),236.588,0,37,Tea
574,Tea (White),236.588,0,28,Tea
575,Teavana Tea,236.588,0,41,Tea
576,Twig Tea (Kukicha),236.588,0,25,Tea
577,Waka Instant Tea,236.588,0,30,Tea
578,Yellow Tea,236.588,0,63,Tea
579,Yerba Mate Tea,236.588,0,40,Tea
580,YMateina Yerba Mate,236.588,0,80,Tea
581,Zest Highly Caffeinated Tea,236.588,0,150,Tea
582,Oregon Chai Tea,177.441,130,45,Tea
583,Pacific Chai,177.441,90,29,Tea
584,Perrier Energize,250.19181000000003,35,99,Water
585,3 Water,499.79215,0,50,Water
586,Heroec Energy Water,499.79215,0,60,Water
587,Caribou BOUsted Sparkling Water,340.09525,0,75,Water
588,Phocus Sparkling Water,340.09525,0,75,Water
589,Poland Spring Sparkling Energy Water,340.09525,35,75,Water
590,Perrier Sparkling Water,329.744525,0,0,Water
591,VitaminWater Energy,591.47,100,50,Water
592,VitaRain Zero Enhanced Water,591.47,0,42,Water
593,Water Joe,591.47,0,70,Water
594,Polar Frost Plus Energy,502.7495,10,67,Water
595,Hint Caffeine Kick Water,473.176,0,60,Water
596,Sparkling Ice +Caffeine,473.176,5,70,Water
597,AHA Sparkling Water,354.882,0,30,Water
598,Arti Sparkling Water,354.882,0,120,Water
599,Bubbl'r Sparkling Water,354.882,5,69,Water
600,Bubly Bounce Sparkling Water,354.882,0,35,Water
601,Bubly Sparkling Water,354.882,0,0,Water
602,GURU Sparkling Energy Water,354.882,0,100,Water
603,La Croix Sparkling Water,354.882,0,0,Water
604,Limitless Sparkling Water,354.882,0,35,Water
605,Pep Talk Sparkling Water,354.882,0,55,Water
606,Polar Seltzer Water,354.882,0,0,Water
607,Yerbae Sparkling Water,354.882,0,100,Water
608,Tonic Water,295.735,110,0,Water
609,MiO Energy Water Enhancer,236.588,0,60,Water
